date,target,actual,predicted
2025-01-01,donation_amount,45220.0,45507.94102472855
2025-02-01,donation_amount,51945.0,53943.701085501234
2025-03-01,donation_amount,32474.0,33383.882171308054
2025-04-01,donation_amount,49958.0,53410.40909004534
2025-05-01,donation_amount,25637.0,27608.784655587555
2025-06-01,donation_amount,52344.0,45843.03933711255
2025-07-01,donation_amount,32628.0,28946.640011256444
2025-08-01,donation_amount,35077.0,30953.821915809705
2025-09-01,donation_amount,44535.0,40343.58014649685
2025-10-01,donation_amount,36939.0,38007.73771361933
2025-11-01,donation_amount,34220.0,34001.083583732296
2025-12-01,donation_amount,38203.0,39252.1691456369
2025-01-01,donation_amount,46634.0,40060.30406287553
2025-02-01,donation_amount,76422.0,77744.55786697486
2025-03-01,donation_amount,50624.0,45368.24867603011
2025-04-01,donation_amount,62448.0,65758.00999044362
2025-05-01,donation_amount,38924.0,41181.49160175108
2025-06-01,donation_amount,47163.0,43973.34050272709
2025-07-01,donation_amount,74930.0,81000.7747676034
2025-08-01,donation_amount,45559.0,49898.54859096574
2025-09-01,donation_amount,59850.0,54379.81382122127
2025-10-01,donation_amount,50117.0,46111.489196900104
2025-11-01,donation_amount,46987.0,44148.30121713892
2025-12-01,donation_amount,47100.0,42750.85553764385
2025-01-01,donation_amount,45210.0,48740.07928408488
2025-02-01,donation_amount,37019.0,35716.24390384531
2025-03-01,donation_amount,35639.0,39843.307369489
2025-04-01,donation_amount,36744.0,32632.14750787387
2025-05-01,donation_amount,32896.0,33882.12818935
2025-06-01,donation_amount,47973.0,47859.361500993764
2025-07-01,donation_amount,37534.0,34766.06717475793
2025-08-01,donation_amount,44826.0,39366.71422874812
2025-09-01,donation_amount,51269.0,45245.3175399832
2025-10-01,donation_amount,76540.0,69488.16421138101
2025-11-01,donation_amount,40854.0,48965.7244499065
2025-12-01,donation_amount,49920.0,47329.31837322963
2025-01-01,donation_amount,30021.0,30652.050316867146
2025-02-01,donation_amount,43656.0,52627.43483276777
2025-03-01,donation_amount,34864.0,33410.676044105654
2025-04-01,donation_amount,26067.0,30024.177800699388
2025-05-01,donation_amount,29451.0,27570.298503201164
2025-06-01,donation_amount,29516.0,29590.909881633415
2025-07-01,donation_amount,37099.0,35477.13105709846
2025-08-01,donation_amount,33233.0,33744.43830493483
2025-09-01,donation_amount,51007.0,52503.00033776403
2025-10-01,donation_amount,45396.0,39978.92075663714
2025-11-01,donation_amount,45766.0,38785.20042300298
2025-12-01,donation_amount,34675.0,33175.359169508614
2025-01-01,donation_amount,49811.0,48919.25001312606
2025-02-01,donation_amount,58256.0,51386.53573000006
2025-03-01,donation_amount,35051.0,41365.949036392856
2025-04-01,donation_amount,28005.0,32855.302717717146
2025-05-01,donation_amount,35193.0,31089.87950728706
2025-06-01,donation_amount,31789.0,30375.93213315582
2025-07-01,donation_amount,44983.0,37514.56843242623
2025-08-01,donation_amount,46320.0,41414.72936546312
2025-09-01,donation_amount,31937.0,36145.17297456768
2025-10-01,donation_amount,40035.0,36979.85141444094
2025-11-01,donation_amount,42225.0,34901.969713661216
2025-12-01,donation_amount,36488.0,38681.76949844619
2025-01-01,donation_amount,37861.0,44056.57331019418
2025-02-01,donation_amount,67651.0,67360.22592845015
2025-03-01,donation_amount,78499.0,69523.66310975433
2025-04-01,donation_amount,72882.0,55430.13017614255
2025-05-01,donation_amount,51787.0,56027.36096434189
2025-06-01,donation_amount,43687.0,42253.55851587896
2025-07-01,donation_amount,51735.0,50345.079520774736
2025-08-01,donation_amount,65164.0,55085.25547139359
2025-09-01,donation_amount,78127.0,74864.92634691337
2025-10-01,donation_amount,62945.0,65399.31983763566
2025-11-01,donation_amount,53605.0,51582.18230067741
2025-12-01,donation_amount,48718.0,50648.15587778339
2025-01-01,donation_amount,114728.0,104343.11487675435
2025-02-01,donation_amount,69754.0,67107.6593194998
2025-03-01,donation_amount,74358.0,82099.77984809331
2025-04-01,donation_amount,71990.0,70356.3280187128
2025-05-01,donation_amount,74547.0,69526.1438571691
2025-06-01,donation_amount,58358.0,57554.4861626834
2025-07-01,donation_amount,67178.0,59362.18842578868
2025-08-01,donation_amount,66047.0,57184.178700315984
2025-09-01,donation_amount,66451.0,64307.07640747784
2025-10-01,donation_amount,83196.0,65331.87294889016
